AUDIO,STEEL,Y,Y2,DISTANCE,ANGLE,SHAPE,AREA,POWER,THICK
fold_2/Bright_Black_167.wav,Bright_Black,1,7,24,0,square,2500,9.8,8
fold_2/Bright_Black_168.wav,Bright_Black,1,7,24,0,square,2500,11.8,8
fold_2/Bright_Black_169.wav,Bright_Black,1,7,24,0,square,2500,13.8,8
fold_2/Bright_Black_170.wav,Bright_Black,1,7,24,0,square,2500,15.8,8
fold_2/Bright_Black_171.wav,Bright_Black,1,7,24,0,square,2500,17.8,8
fold_2/Bright_Black_172.wav,Bright_Black,1,7,24,0,square,2500,19.8,8
fold_2/Bright_Black_173.wav,Bright_Black,1,7,24,0,square,2500,21.8,8
fold_2/Bright_Black_174.wav,Bright_Black,1,7,24,0,square,2500,23.8,8
fold_2/Bright_Black_175.wav,Bright_Black,1,7,24,0,square,2500,25.8,8
fold_2/Bright_Black_176.wav,Bright_Black,1,7,24,0,square,2500,27.8,8
fold_2/Bright_Black_177.wav,Bright_Black,1,7,24,0,square,2500,29.8,8
fold_2/Bright_Black_178.wav,Bright_Black,1,7,24,45,square,2500,9.8,8
fold_2/Bright_Black_179.wav,Bright_Black,1,7,24,45,square,2500,11.8,8
fold_2/Bright_Black_180.wav,Bright_Black,1,7,24,45,square,2500,13.8,8
fold_2/Bright_Black_181.wav,Bright_Black,1,7,24,45,square,2500,15.8,8
fold_2/Bright_Black_182.wav,Bright_Black,1,7,24,45,square,2500,17.8,8
fold_2/Bright_Black_183.wav,Bright_Black,1,7,24,45,square,2500,19.8,8
fold_2/Bright_Black_184.wav,Bright_Black,1,7,24,45,square,2500,21.8,8
fold_2/Bright_Black_185.wav,Bright_Black,1,7,24,45,square,2500,23.8,8
fold_2/Bright_Black_186.wav,Bright_Black,1,7,24,45,square,2500,25.8,8
fold_2/Bright_Black_187.wav,Bright_Black,1,7,24,45,square,2500,27.8,8
fold_2/Bright_Black_188.wav,Bright_Black,1,7,24,45,square,2500,29.8,8
fold_2/Bright_Black_189.wav,Bright_Black,1,7,24,90,square,2500,9.8,8
fold_2/Bright_Black_190.wav,Bright_Black,1,7,24,90,square,2500,11.8,8
fold_2/Bright_Black_191.wav,Bright_Black,1,7,24,90,square,2500,13.8,8
fold_2/Bright_Black_192.wav,Bright_Black,1,7,24,90,square,2500,15.8,8
fold_2/Bright_Black_193.wav,Bright_Black,1,7,24,90,square,2500,17.8,8
fold_2/Bright_Black_194.wav,Bright_Black,1,7,24,90,square,2500,19.8,8
fold_2/Bright_Black_195.wav,Bright_Black,1,7,24,90,square,2500,21.8,8
fold_2/Bright_Black_196.wav,Bright_Black,1,7,24,90,square,2500,23.8,8
fold_2/Bright_Black_197.wav,Bright_Black,1,7,24,90,square,2500,25.8,8
fold_2/Bright_Black_198.wav,Bright_Black,1,7,24,90,square,2500,27.8,8
fold_2/Bright_Black_199.wav,Bright_Black,1,7,24,90,square,2500,29.8,8
fold_2/Bright_Black_200.wav,Bright_Black,1,7,24,135,square,2500,9.8,8
fold_2/Bright_Black_201.wav,Bright_Black,1,7,24,135,square,2500,11.8,8
fold_2/Bright_Black_202.wav,Bright_Black,1,7,24,135,square,2500,13.8,8
fold_2/Bright_Black_203.wav,Bright_Black,1,7,24,135,square,2500,15.8,8
fold_2/Bright_Black_204.wav,Bright_Black,1,7,24,135,square,2500,17.8,8
fold_2/Bright_Black_205.wav,Bright_Black,1,7,24,135,square,2500,19.8,8
fold_2/Bright_Black_206.wav,Bright_Black,1,7,24,135,square,2500,21.8,8
fold_2/Bright_Black_207.wav,Bright_Black,1,7,24,135,square,2500,23.8,8
fold_2/Bright_Black_208.wav,Bright_Black,1,7,24,135,square,2500,25.8,8
fold_2/Bright_Black_209.wav,Bright_Black,1,7,24,135,square,2500,27.8,8
fold_2/Bright_Black_210.wav,Bright_Black,1,7,24,135,square,2500,29.8,8
fold_2/Bright_Black_211.wav,Bright_Black,1,7,24,180,square,2500,9.8,8
fold_2/Bright_Black_212.wav,Bright_Black,1,7,24,180,square,2500,11.8,8
